ZFIN ID	SO ID	Symbol	NCBI Gene ID	
ZDB-GENE-001106-5	SO:0001217	nitr1k	60646
ZDB-GENE-001106-6	SO:0001217	nitr2b	60647
ZDB-GENE-001106-8	SO:0001217	nitr3a	60649
ZDB-GENE-001120-1	SO:0001217	lima1a	64000
ZDB-GENE-001120-2	SO:0001217	stard3	63998
ZDB-GENE-001120-3	SO:0001217	star	63999
ZDB-GENE-001127-1	SO:0001217	atp1b3b	64272
ZDB-GENE-001127-2	SO:0001217	atp1b2a	64269
ZDB-GENE-001127-3	SO:0001217	atp1b1a	64267
ZDB-GENE-001127-4	SO:0001217	atp1b1b	64273
ZDB-GENE-001128-1	SO:0001217	efna5a	64256
ZDB-GENE-001201-1	SO:0001217	vtg1	559475
ZDB-GENE-001201-2	SO:0001217	vtg2	559931
ZDB-GENE-001201-3	SO:0001217	vtg4	678536
ZDB-GENE-001201-4	SO:0001217	vtg5	64260
ZDB-GENE-001201-5	SO:0001217	vtg6	559229
ZDB-GENE-001201-6	SO:0001217	vtg7	559856
ZDB-GENE-001202-1	SO:0001217	plp1a	64264
ZDB-GENE-001205-1	SO:0001217	csf1ra	64274
ZDB-GENE-001205-2	SO:0001217	aox5	64265
ZDB-GENE-001205-3	SO:0001217	gch2	64263
ZDB-GENE-001205-4	SO:0001217	ctsk	550475
ZDB-GENE-001206-2	SO:0001217	lbx2	64276
ZDB-GENE-001207-1	SO:0001217	supt5h	64275
ZDB-GENE-001207-3	SO:0001217	arnt2	64277
ZDB-GENE-001207-7	SO:0001217	epha4a	64271
ZDB-GENE-001208-1	SO:0001217	psmb12	64279
ZDB-GENE-001208-2	SO:0001217	psmb13a	64280
ZDB-GENE-001208-3	SO:0001217	psmb9b	64281
ZDB-GENE-001208-4	SO:0001217	psmb7	64278
ZDB-GENE-001212-1	SO:0001217	atp1a1a.1	64612
ZDB-GENE-001212-2	SO:0001217	atp1a1a.2	64613
ZDB-GENE-001212-3	SO:0001217	atp1a1a.3	64614
ZDB-GENE-001212-4	SO:0001217	atp1a1a.4	64615
ZDB-GENE-001212-5	SO:0001217	atp1a1b	64616
ZDB-GENE-001212-6	SO:0001217	atp1a2a	64609
ZDB-GENE-001212-7	SO:0001217	atp1a3a	64610
ZDB-GENE-001212-8	SO:0001217	atp1a3b	64611
ZDB-GENE-001219-1	SO:0001217	htatip2	64605
ZDB-GENE-001221-1	SO:0001217	nrf1	64604
ZDB-GENE-001222-1	SO:0001217	vsx2	796163
ZDB-GENE-001228-1	SO:0001217	eomesa	64603
ZDB-GENE-001228-2	SO:0001217	s1pr1	64617
ZDB-GENE-001229-1	SO:0001217	alas2	64607
