NCBI Gene ID	ZFIN ID	PValue	logFC
100002387	ZDB-GENE-130530-930	0.506094692	-0.280294715
100002391	ZDB-GENE-060929-1234	0.001504381	-0.749948977
100002392		0.937113282	-0.099806705
100002393	ZDB-GENE-091027-2	0.353640656	-0.138837088
100002400	ZDB-GENE-141222-12	0.038269609	0.269749192
100002406		0.854254256	0.150987647
100002407	ZDB-GENE-090918-3	0.500835274	0.420360908
100002427	ZDB-GENE-081104-352	0.43934581	-0.941637447
100002437	ZDB-GENE-110411-68	0.933022	0.053113278
100002445	ZDB-GENE-060531-162	0.050229778	0.64032717
100002448	ZDB-GENE-071218-2	0.877742444	-0.054486619
100002454	ZDB-GENE-081104-516	0.000388285	1.197626088
100002455		0.384383428	0.44943199
100002460	ZDB-GENE-121214-171	0.756745718	-0.09675755
100002463	ZDB-GENE-030131-9858	0.085187662	-0.252354353
100002469		0.941059789	0.034092302
100002476	ZDB-GENE-070912-39	0.167108598	-1.610250821
100002496	ZDB-GENE-070705-455	0.629001526	0.533792047
100002502	ZDB-GENE-081031-1	0.077304517	2.70779483
100002505	ZDB-GENE-091118-82	0.312468786	-0.181535253
100002513	ZDB-GENE-070424-27	0.907250005	0.146475533
100002528	ZDB-GENE-090218-1	0.942604316	-0.026715589
100002532		0.599783368	-0.104558166
100002535	ZDB-GENE-070912-593	0.905884754	0.045250666
100002536	ZDB-GENE-090312-30	0.441398128	0.140298534
100002543		0.003965895	0.502800533
100002553	ZDB-GENE-131127-471	0.174424188	-0.817154947
100002565	ZDB-GENE-050309-46	0.024793684	-0.290481196
100002566	ZDB-GENE-090710-2	0.052965123	-0.42582158
100002591		0.325821265	-0.726003791
100002600	ZDB-GENE-131125-50	0.446121461	0.321414103
100002601	ZDB-GENE-150224-1	0.663903893	-0.156671111
100002610	ZDB-GENE-090918-1	0.236320166	0.507560747
100002625	ZDB-GENE-120207-2	0.001204208	-0.389787384
100002627	ZDB-GENE-131127-236	0.833290572	-0.150849866
100002630		0.983671153	-0.00599876
100002633		0.909032787	0.03827165
100002649		0.018336944	1.592996627
100002665	ZDB-GENE-060130-3	0.774290282	-0.310715228
100002675	ZDB-GENE-070912-42	0.444608774	-0.443495624
100002676	ZDB-GENE-090313-75	0.029521912	-1.325175311
100002679		0.650540245	0.079477371
100002680	ZDB-GENE-030826-25	0.085136086	0.440995829
100002689	ZDB-GENE-100922-182	0.436414429	-0.090160069
100002706		0.044540442	0.527574212
100002715	ZDB-GENE-060526-54	0.839110485	0.08124281
100002719		0.932963951	-0.09165276
100002730	ZDB-GENE-040108-6	0.296511991	0.414744901
100002736	ZDB-GENE-131121-569	0.296140484	-0.211130874
100002737	ZDB-GENE-070117-651	0.429294953	-0.176208185
100002738	ZDB-GENE-090306-3	0.162980986	-0.370449483
100002756		0.037576013	0.282947625
100002762		0.219197475	0.250586223
100002785	ZDB-GENE-070705-365	0.065595836	0.537826252
100002786	ZDB-GENE-060526-286	1.0	2.548984855
100002791	ZDB-GENE-130530-762	0.004581611	-0.816865274
100002795	ZDB-GENE-081104-451	0.902546195	0.044579102
100002802	ZDB-GENE-051120-168	0.989266218	0.004333583
100002805	ZDB-GENE-030131-8407	0.955356411	0.03744642
100002812	ZDB-GENE-040801-198	0.47734435	-0.202192022
100002814	ZDB-GENE-170623-4	0.018191609	0.48448345
100002821	ZDB-GENE-080204-47	0.350562558	1.12287976
100002825	ZDB-GENE-130530-665	0.784087095	0.052184735
100002838		0.390059605	-0.273994701
100002842	ZDB-GENE-130530-604	0.01999079	0.392959686
100002866	ZDB-GENE-070912-145	1.0	0.755345404
100002872	ZDB-GENE-080724-2	0.351460009	-0.173974295
100002875	ZDB-GENE-040914-13	0.142996816	0.338118424
100002876	ZDB-GENE-080204-60	0.977145902	0.012837538
100002878	ZDB-GENE-080220-25	0.044366837	0.924335751
100002885	ZDB-GENE-110914-193	0.595966387	-0.221974762
100002893	ZDB-GENE-050419-124	0.200579097	0.419755038
100002904	ZDB-GENE-041001-130	0.001825044	-0.866791201
100002907	ZDB-GENE-110411-199	0.014864579	1.767391722
100002916		0.001440442	-0.864808485
100002917	ZDB-GENE-110208-2	0.097172421	0.412258078
100002919	ZDB-GENE-041210-344	0.02004404	-0.530603414
100002923		0.766756274	0.283558493
100002928	ZDB-GENE-050809-24	0.003121665	-0.357978924
100002938	ZDB-GENE-091008-2	2.11e-05	-0.430131268
100002945	ZDB-GENE-050306-19	0.123355987	-0.245269536
100002946	ZDB-GENE-081104-317	0.203054182	0.831610662
100002948	ZDB-GENE-070615-32	0.883983488	0.169553746
100002956	ZDB-GENE-141216-110	0.00791168	0.443181221
100002960		0.82649417	0.223018209
100002967		0.60645226	0.2479261
100002993	ZDB-GENE-081105-106	0.073504202	-0.410006118
100003007	ZDB-GENE-030131-8029	0.001611323	-0.725019147
100003014	ZDB-GENE-060929-1098	0.233985491	0.315026524
100003020	ZDB-GENE-090112-5	0.308632288	0.362938527
100003025	ZDB-GENE-130613-4	0.024675004	-0.715379069
100003026	ZDB-GENE-050419-28	0.226747253	0.371901051
100003029	ZDB-GENE-130815-1	0.564999621	0.407664299
100003031	ZDB-GENE-080220-23	0.228721821	1.458554834
100003036		0.716487317	-0.054270719
100003037	ZDB-GENE-080204-43	0.512377741	-0.158270587
100003049	ZDB-GENE-100922-233	0.071432019	-0.460395736
100003066	ZDB-GENE-070912-358	0.696934466	0.224398615
100003080	ZDB-GENE-030131-4433	0.168976468	-0.231734136
100003089	ZDB-GENE-100226-2	0.529974152	-0.56442366
100003090	ZDB-GENE-090312-219	0.652942076	0.260488073
100003100	ZDB-GENE-080204-39	4.31e-08	-1.38768174
100003103	ZDB-GENE-061207-80	0.007129874	0.695001137
100003104	ZDB-GENE-141212-371	1.0	-1.272728996
100003113	ZDB-GENE-110216-2	0.834370221	-0.101638057
100003132	ZDB-GENE-070912-360	0.607835094	-0.316452349
100003133		0.048721372	-1.215155335
100003139	ZDB-GENE-090311-31	0.394709874	0.152746791
100003140		0.213269449	0.889061263
100003142	ZDB-GENE-030131-4678	0.414103946	-0.177043136
100003157	ZDB-GENE-050419-73	0.354224816	0.178965771
100003167	ZDB-GENE-070301-6	0.534667884	-0.327654844
100003170	ZDB-GENE-070626-2	0.108247249	0.603677283
100003182		0.294887972	0.193291635
100003205	ZDB-GENE-131127-35	0.381354871	0.204746064
100003206	ZDB-GENE-030131-9056	0.13464296	0.228788437
100003209	ZDB-GENE-060526-259	0.697420263	0.495219681
100003220	ZDB-GENE-100922-272	0.044574387	0.771168647
100003223	ZDB-GENE-030616-609	0.811504858	0.033696792
100003232	ZDB-GENE-050208-63	0.013296155	-0.314124745
100003238	ZDB-GENE-131121-88	0.429866223	-0.235851962
100003245	ZDB-GENE-030219-43	0.00076464	1.152459192
100003254	ZDB-GENE-030131-6485	0.80402823	-0.234915881
100003272	ZDB-GENE-130524-1	0.157861089	-0.119396283
100003275	ZDB-GENE-131127-398	0.783616445	-0.344970871
100003277	ZDB-GENE-131016-5	0.41052404	-0.260403946
100003278	ZDB-GENE-100921-51	0.792626708	-0.182180683
100003291		0.596201854	-0.134736461
100003307	ZDB-GENE-080919-1	0.385850826	-0.572933335
100003313	ZDB-GENE-051030-30	0.982023125	-0.008961686
100003326		0.021838572	-0.407960381
100003329	ZDB-GENE-100921-72	0.965102809	0.01212812
100003330	ZDB-GENE-100729-3	0.37124418	0.288064283
100003333	ZDB-GENE-060503-749	0.830016914	0.030117489
100003342		0.055492207	-0.451670993
100003346		0.650540245	0.404294934
100003349	ZDB-GENE-160113-144	0.962559152	0.036185679
100003353	ZDB-GENE-080220-49	0.894299898	0.030116837
100003354	ZDB-GENE-081104-468	0.193082978	-0.194604229
100003363	ZDB-GENE-091118-112	0.050601016	0.65110942
100003376	ZDB-GENE-120813-6	0.764460191	0.079687609
100003383	ZDB-GENE-070410-91	0.695087931	0.125629326
100003386	ZDB-GENE-081105-89	0.40956869	0.466031257
100003387		0.142727914	0.384618542
100003410	ZDB-GENE-080219-5	0.739728015	0.10863904
100003412	ZDB-GENE-080204-49	0.79672914	0.104054723
100003413	ZDB-GENE-110609-4	0.00244184	0.406266542
100003419	ZDB-GENE-081105-136	0.738581109	-0.067632249
100003431	ZDB-GENE-040426-754	0.64417518	0.151702849
100003436	ZDB-GENE-160728-139	0.057127344	0.34340841
100003446		0.859271204	-0.054875661
100003450		0.617274315	0.104103819
100003472		0.760087046	0.178547823
100003476	ZDB-GENE-070912-554	0.920651504	0.044508288
100003481	ZDB-GENE-041114-185	0.826051903	-0.03681392
100003490	ZDB-GENE-070410-107	0.436959253	0.661710825
100003493	ZDB-GENE-081031-71	0.232527339	-0.187529064
100003514	ZDB-GENE-090206-1	0.095090537	0.537864586
100003520	ZDB-GENE-080214-4	0.000946219	-0.535467809
